"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_card-product-list.scss", "SCSS", 0, 129, 0, 0, 0, 0, 0, 6, 16, 151
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cards-container.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cards.scss", "SCSS", 0, 271, 0, 0, 0, 0, 0, 2, 27, 300
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_cart-product.scss", "SCSS", 0, 68, 0, 0, 0, 0, 0, 2, 5, 75
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_error-display__popup.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_form-buttons.scss", "SCSS", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_github-link.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_google-map.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_input-group.scss", "SCSS", 0, 128, 0, 0, 0, 0, 0, 7, 23, 158
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_linkedin-link.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_message.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 4, 3, 51
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_overlap-image.scss", "SCSS", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_pagination.scss", "SCSS", 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_popup.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\components\_spin.scss", "SCSS", 0, 46, 0, 0, 0, 0, 0, 1, 5, 52
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-button.scss", "SCSS", 0, 45, 0, 0, 0, 0, 0, 7, 5, 57
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-modal-toggle.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_cart-window.scss", "SCSS", 0, 95, 0, 0, 0, 0, 0, 10, 10, 115
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_creator.scss", "SCSS", 0, 57, 0, 0, 0, 0, 0, 0, 11, 68
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_hamburger-button.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 5, 6, 55
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_id-form.scss", "SCSS", 0, 56, 0, 0, 0, 0, 0, 5, 7, 68
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_intro-header.scss", "SCSS", 0, 25, 0, 0, 0, 0, 0, 1, 3, 29
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\sass\layout\_invitation-newsletter.scss", "SCSS", 0, 99, 0, 0, 0, 0, 0, 17, 14, 130
