Date : 2022-11-18 15:23:15
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT
Total : 150 files,  14058 codes, 645 comments, 1070 blanks, all 15773 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Modal.js                       | JavaScript |         45 |          0 |          5 |         50 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\ProductCard.js                 | JavaScript |         58 |          0 |          2 |         60 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\ProductsTable.js               | JavaScript |         38 |          0 |          3 |         41 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\SalesTable.js                  | JavaScript |          2 |          0 |          2 |          4 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Spin.js                        | JavaScript |         13 |          0 |          4 |         17 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\Table.js                       | JavaScript |         67 |          0 |          6 |         73 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\modules\popup.js                       | JavaScript |         43 |          1 |          8 |         52 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\alta.js                          | JavaScript |        277 |          4 |         22 |        303 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\contacto.js                      | JavaScript |         62 |          0 |          3 |         65 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\home.js                          | JavaScript |         79 |          3 |         10 |         92 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\listado.js                       | JavaScript |         60 |          0 |          6 |         66 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\nosotros.js                      | JavaScript |          5 |          3 |          2 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\product.js                       | JavaScript |         46 |          0 |          3 |         49 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\public\pages\sale.js                          | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\ContactRouter.js                      | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\MainRouter.js                         | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\PageRouter.js                         | JavaScript |         28 |          1 |          2 |         31 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\ProductRouter.js                      | JavaScript |         55 |          4 |          5 |         64 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\routers\SaleRouter.js                         | JavaScript |         12 |          0 |          2 |         14 |
